CUM;ATC INVIMA;DESCRIPCIÓN ATC;FORMA FARMACÉUTICA;PRODUCTO;CANTIDAD PRINCIPIO ACTIVO;CANTIDAD PRINCIPIO ACTIVO SEGUNDARIO;UNIDAD BASE;VOLUMEN;UNIDAD VOLUMEN;PESO;UNIDAD PESO;CONCENTRACIÓN;UNIDAD CONCENTRACIÓN;CANTIDAD PRINCIPIO ACTIVO POR PRESENTACIÓN COMERCIAL;TITULAR;ESTADO CUM - Marzo 2014;UNIDADES POR PRESENTACIÓN COMERCIAL;UNIDAD DE DISPENSACIÓN DE LA PRESENTACION COMERCIAL;PRESENTACIÓN COMERCIAL;ID MERCADO RELEVANTE;MERCADO RELEVANTE;CIRCULAR - CNPMDM;FECHA DE ENTRADA EN VIGENCIA;MARGEN DE IPS -CIRCULAR 01 2014;ALEMANIA;ARGENTINA;AUSTRALIA;BRASIL;CANADA;CHILE;COLOMBIA;ECUADOR;EE.UU.;ESPAÑA;FRANCIA;MEXICO;NORUEGA;PANAMA;PERU;PORTUGAL;REINO UNIDO;URUGUAY
20049701-13;N05AH04;QUETIAPINA;TABLETA / CAPSULA DE LIBERACION PROLONGADA;DRUGTECH QUETIDIN XR;150;;mg;;;;;;;4500;SYNTHESIS;VIGENTE;30;TABLETAS;30 TABLETAS;117;QUETIAPINA - Tableta de liberación prolongada;Circular 07 de 2013;14-ene-14;6606.44;;;114668.82;177747.99;104632.76;;94377.76;321715.04;601772.82;122208.96;98468.35;;82106,00;;193205.68;78293.09;184600.47;31286.67
20049701-2;N05AH04;QUETIAPINA;TABLETA / CAPSULA DE LIBERACION PROLONGADA;DRUGTECH QUETIDIN XR;150;;mg;;;;;;;1500;SYNTHESIS;VIGENTE;10;TABLETAS;10 TABLETAS;117;QUETIAPINA - Tableta de liberación prolongada;Circular 07 de 2013;14-ene-14;2202.15;;;38222.94;59249.33;34877.59;;31459.25;107238.35;200590.94;40736.32;32822.78;;27368.67;;64401.89;26097.7;61533.49;10428.89
20049701-3;N05AH04;QUETIAPINA;TABLETA / CAPSULA DE LIBERACION PROLONGADA;DRUGTECH QUETIDIN XR;150;;mg;;;;;;;3000;SYNTHESIS;VIGENTE;20;TABLETAS;20 TABLETAS;117;QUETIAPINA - Tableta de liberación prolongada;Circular 07 de 2013;14-ene-14;4404.3;;;76445.88;118498.66;69755.17;;62918.51;214476.69;401181.88;81472.64;65645.57;;54737.33;;128803.79;52195.39;123066.98;20857.78
20049701-4;N05AH04;QUETIAPINA;TABLETA / CAPSULA DE LIBERACION PROLONGADA;DRUGTECH QUETIDIN XR;150;;mg;;;;;;;6000;SYNTHESIS;VIGENTE;40;TABLETAS;40 TABLETAS;117;QUETIAPINA - Tableta de liberación prolongada;Circular 07 de 2013;14-ene-14;8808.59;;;152891.76;236997.32;139510.35;;125837.02;428953.38;802363.76;162945.28;131291.13;;109474.66;;257607.58;104390.78;246133.96;41715.57
20049701-5;N05AH04;QUETIAPINA;TABLETA / CAPSULA DE LIBERACION PROLONGADA;DRUGTECH QUETIDIN XR;150;;mg;;;;;;;7500;SYNTHESIS;VIGENTE;50;TABLETAS;50 TABLETAS;117;QUETIAPINA - Tableta de liberación prolongada;Circular 07 de 2013;14-ene-14;11010.74;;;191114.7;296246.65;174387.93;;157296.27;536191.73;1002954.71;203681.6;164113.92;;136843.33;;322009.47;130488.48;307667.45;52144.46
20049701-6;N05AH04;QUETIAPINA;TABLETA / CAPSULA DE LIBERACION PROLONGADA;DRUGTECH QUETIDIN XR;150;;mg;;;;;;;9000;SYNTHESIS;VIGENTE;60;TABLETAS;60 TABLETAS;117;QUETIAPINA - Tableta de liberación prolongada;Circular 07 de 2013;14-ene-14;13212.89;;;229337.64;355495.98;209265.52;;188755.52;643430.07;1203545.65;244417.92;196936.7;;164211.99;;386411.37;156586.18;369200.94;62573.35
20049701-7;N05AH04;QUETIAPINA;TABLETA / CAPSULA DE LIBERACION PROLONGADA;DRUGTECH QUETIDIN XR;150;;mg;;;;;;;10500;SYNTHESIS;VIGENTE;70;TABLETAS;70 TABLETAS;117;QUETIAPINA - Tableta de liberación prolongada;Circular 07 de 2013;14-ene-14;15415.03;;;267560.57;414745.31;244143.11;;220214.78;750668.42;1404136.59;285154.24;229759.48;;191580.66;;450813.26;182683.87;430734.43;73002.24
20049701-8;N05AH04;QUETIAPINA;TABLETA / CAPSULA DE LIBERACION PROLONGADA;DRUGTECH QUETIDIN XR;150;;mg;;;;;;;12000;SYNTHESIS;VIGENTE;80;TABLETAS;80 TABLETAS;117;QUETIAPINA - Tableta de liberación prolongada;Circular 07 de 2013;14-ene-14;17617.18;;;305783.51;473994.64;279020.69;;251674.03;857906.76;1604727.53;325890.56;262582.27;;218949.33;;515215.15;208781.57;492267.92;83431.13
20049701-9;N05AH04;QUETIAPINA;TABLETA / CAPSULA DE LIBERACION PROLONGADA;DRUGTECH QUETIDIN XR;150;;mg;;;;;;;13500;SYNTHESIS;VIGENTE;90;TABLETAS;90 TABLETAS;117;QUETIAPINA - Tableta de liberación prolongada;Circular 07 de 2013;14-ene-14;19819.33;;;344006.45;533243.97;313898.28;;283133.29;965145.11;1805318.47;366626.88;295405.05;;246317.99;;579617.05;234879.26;553801.41;93860.02
19913029-1;M03AX01;TOXINA BOTULINICA;POLVO RECONSTITUIR A SOLUCION / SUSPENSION INYECTABLE;DYSPORT;500;;UI;1;ml;;;500;UI/ml;500;IPSEN;VIGENTE;1;VIAL;1 VIAL;128a;TOXINA HEMAGLUTININA DE TOXINA TIPO A Y OTRAS TOXINAS TIPO A - Polvo liofilizado p/reconstituir a Sol.Inyectable;Circular 07 de 2013;14-ene-14;33052.89;;;1227926.94;820830.29;;;472184.15;;1275653.78;437834.48;;;492270.84;;;452097.46;498107.2;
20032324-1;M03AX01;TOXINA BOTULINICA;POLVO RECONSTITUIR A SOLUCION / SUSPENSION INYECTABLE;DYSPORT;300;;U;1;ml;;;300;U/ml;300;IPSEN;VIGENTE;1;VIAL;1 VIAL;128a;TOXINA HEMAGLUTININA DE TOXINA TIPO A Y OTRAS TOXINAS TIPO A - Polvo liofilizado p/reconstituir a Sol.Inyectable;Circular 07 de 2013;14-ene-14;19831.73;;;736756.16;492498.18;;;283310.49;;765392.27;262700.69;;;295362.5;;;271258.48;298864.32;
19985874-1;N06DA03;RIVASTIGMINA;TRANSDERMICOS;EXELON;9;;mg;;;;;;;27;NOVARTIS;VIGENTE;3;PARCHES;3 PARCHES;120;RIVASTIGMINA - Parche;Circular 07 de 2013;14-ene-14;831.18;;;11960.87;12056.55;17901.65;13450.29;11873.94;;32480.79;8370.31;10743.55;;12660.69;18443.35;24038.57;11613.15;15411.67;
19985874-2;N06DA03;RIVASTIGMINA;TRANSDERMICOS;EXELON;9;;mg;;;;;;;63;NOVARTIS;VIGENTE;7;PARCHES;7 PARCHES;120;RIVASTIGMINA - Parche;Circular 07 de 2013;14-ene-14;1939.41;;;27908.7;28131.96;41770.51;31384.01;27705.86;;75788.51;19530.72;25068.29;;29541.61;43034.49;56089.99;27097.35;35960.57;
19985874-3;N06DA03;RIVASTIGMINA;TRANSDERMICOS;EXELON;9;;mg;;;;;;;135;NOVARTIS;VIGENTE;15;PARCHES;15 PARCHES;120;RIVASTIGMINA - Parche;Circular 07 de 2013;14-ene-14;4155.88;;;59804.35;60282.76;89508.23;67251.44;59369.7;;162403.94;41851.54;53717.77;;63303.46;92216.77;120192.83;58065.74;77058.37;
19985874-4;N06DA03;RIVASTIGMINA;TRANSDERMICOS;EXELON;9;;mg;;;;;;;270;NOVARTIS;VIGENTE;30;PARCHES;30 PARCHES;120;RIVASTIGMINA - Parche;Circular 07 de 2013;14-ene-14;8311.76;;;119608.71;120565.53;179016.46;134502.89;118739.4;;324807.89;83703.08;107435.54;;126606.92;184433.54;240385.67;116131.48;154116.74;
19985874-5;N06DA03;RIVASTIGMINA;TRANSDERMICOS;EXELON;9;;mg;;;;;;;540;NOVARTIS;VIGENTE;60;PARCHES;60 PARCHES;120;RIVASTIGMINA - Parche;Circular 07 de 2013;14-ene-14;16623.52;;;239217.41;241131.05;358032.92;269005.78;237478.8;;649615.78;167406.16;214871.08;;253213.84;368867.07;480771.34;232262.97;308233.48;
19985874-6;N06DA03;RIVASTIGMINA;TRANSDERMICOS;EXELON;9;;mg;;;;;;;900;NOVARTIS;VIGENTE;100;PARCHES;100 PARCHES;120;RIVASTIGMINA - Parche;Circular 07 de 2013;14-ene-14;27705.86;;;398695.69;401885.09;596721.53;448342.97;395798,00;;1082692.96;279010.27;358118.47;;422023.07;614778.45;801285.56;387104.95;513722.47;
20008022-1;N06DA03;RIVASTIGMINA;TABLETA / CAPSULA;EXELON;4.5;;mg;;;;;;;63;NOVARTIS;VIGENTE;14;CAPSULAS;14 CAPSULAS;121;RIVASTIGMINA - Tableta/Capsula;Circular 07 de 2013;14-ene-14;3356.19;;;58143.12;47583.16;103367.17;;47945.57;;75179.55;29040.09;41748.45;;68492.7;;139532.05;49032.78;84026.78;
20008022-2;N06DA03;RIVASTIGMINA;TABLETA / CAPSULA;EXELON;4.5;;mg;;;;;;;126;NOVARTIS;VIGENTE;28;CAPSULAS;28 CAPSULAS;121;RIVASTIGMINA - Tableta/Capsula;Circular 07 de 2013;14-ene-14;6712.38;;;116286.24;95166.33;206734.34;;95891.13;;150359.1;58080.18;83496.89;;136985.39;;279064.11;98065.55;168053.57;
20008022-3;N06DA03;RIVASTIGMINA;TABLETA / CAPSULA;EXELON;4.5;;mg;;;;;;;252;NOVARTIS;VIGENTE;56;CAPSULAS;56 CAPSULAS;121;RIVASTIGMINA - Tableta/Capsula;Circular 07 de 2013;14-ene-14;13424.76;;;232572.48;190332.66;413468.68;;191782.27;;300718.19;116160.37;166993.78;;273970.78;;558128.22;196131.11;336107.13;
20008022-4;N06DA03;RIVASTIGMINA;TABLETA / CAPSULA;EXELON;4.5;;mg;;;;;;;504;NOVARTIS;VIGENTE;112;CAPSULAS;112 CAPSULAS;121;RIVASTIGMINA - Tableta/Capsula;Circular 07 de 2013;14-ene-14;26849.52;;;465144.97;380665.31;826937.36;;383564.54;;601436.39;232320.74;333987.56;;547941.56;;1116256.43;392262.22;672214.27;
20008023-1;N06DA03;RIVASTIGMINA;TABLETA / CAPSULA;EXELON;1.5;;mg;;;;;;;21;NOVARTIS;VIGENTE;14;CAPSULAS;14 CAPSULAS;121;RIVASTIGMINA - Tableta/Capsula;Circular 07 de 2013;14-ene-14;1118.73;;;19381.04;15861.05;34455.72;;15981.86;;25059.85;9680.03;13916.15;;22830.9;;46510.68;16344.26;28008.93;
20008023-2;N06DA03;RIVASTIGMINA;TABLETA / CAPSULA;EXELON;1.5;;mg;;;;;;;42;NOVARTIS;VIGENTE;28;CAPSULAS;28 CAPSULAS;121;RIVASTIGMINA - Tableta/Capsula;Circular 07 de 2013;14-ene-14;2237.46;;;38762.08;31722.11;68911.45;;31963.71;;50119.7;19360.06;27832.3;;45661.8;;93021.37;32688.52;56017.86;
20008023-3;N06DA03;RIVASTIGMINA;TABLETA / CAPSULA;EXELON;1.5;;mg;;;;;;;84;NOVARTIS;VIGENTE;56;CAPSULAS;56 CAPSULAS;121;RIVASTIGMINA - Tableta/Capsula;Circular 07 de 2013;14-ene-14;4474.92;;;77524.16;63444.22;137822.89;;63927.42;;100239.4;38720.12;55664.59;;91323.59;;186042.74;65377.04;112035.71;
20008023-4;N06DA03;RIVASTIGMINA;TABLETA / CAPSULA;EXELON;1.5;;mg;;;;;;;168;NOVARTIS;VIGENTE;112;CAPSULAS;112 CAPSULAS;121;RIVASTIGMINA - Tableta/Capsula;Circular 07 de 2013;14-ene-14;8949.84;;;155048.32;126888.44;275645.79;;127854.85;;200478.8;77440.25;111329.19;;182647.19;;372085.48;130754.07;224071.42;
20008025-1;N06DA03;RIVASTIGMINA;TABLETA / CAPSULA;EXELON;3;;mg;;;;;;;42;NOVARTIS;VIGENTE;14;CAPSULAS;14 CAPSULAS;121;RIVASTIGMINA - Tableta/Capsula;Circular 07 de 2013;14-ene-14;2237.46;;;38762.08;31722.11;68911.45;;31963.71;;50119.7;19360.06;27832.3;;45661.8;;93021.37;32688.52;56017.86;
20008025-2;N06DA03;RIVASTIGMINA;TABLETA / CAPSULA;EXELON;3;;mg;;;;;;;72;NOVARTIS;VIGENTE;24;CAPSULAS;24 CAPSULAS;121;RIVASTIGMINA - Tableta/Capsula;Circular 07 de 2013;14-ene-14;3835.65;;;66449.28;54380.76;118133.91;;54794.93;;85919.48;33188.68;47712.51;;78277.37;;159465.2;56037.46;96030.61;
20008025-3;N06DA03;RIVASTIGMINA;TABLETA / CAPSULA;EXELON;3;;mg;;;;;;;168;NOVARTIS;VIGENTE;56;CAPSULAS;56 CAPSULAS;121;RIVASTIGMINA - Tableta/Capsula;Circular 07 de 2013;14-ene-14;8949.84;;;155048.32;126888.44;275645.79;;127854.85;;200478.8;77440.25;111329.19;;182647.19;;372085.48;130754.07;224071.42;
20008025-4;N06DA03;RIVASTIGMINA;TABLETA / CAPSULA;EXELON;3;;mg;;;;;;;336;NOVARTIS;VIGENTE;112;CAPSULAS;112 CAPSULAS;121;RIVASTIGMINA - Tableta/Capsula;Circular 07 de 2013;14-ene-14;17899.68;;;310096.65;253776.87;551291.57;;255709.69;;400957.59;154880.49;222658.38;;365294.37;;744170.95;261508.15;448142.84;
20008026-1;N06DA03;RIVASTIGMINA;TABLETA / CAPSULA;EXELON;6;;mg;;;;;;;672;NOVARTIS;VIGENTE;112;CAPSULAS;112 CAPSULAS;121;RIVASTIGMINA - Tableta/Capsula;Circular 07 de 2013;14-ene-14;35799.36;;;620193.29;507553.75;1102583.14;;511419.38;;801915.19;309760.98;445316.75;;730588.75;;1488341.91;523016.29;896285.69;
20008026-2;N06DA03;RIVASTIGMINA;TABLETA / CAPSULA;EXELON;6;;mg;;;;;;;84;NOVARTIS;VIGENTE;14;CAPSULAS;14 CAPSULAS;121;RIVASTIGMINA - Tableta/Capsula;Circular 07 de 2013;14-ene-14;4474.92;;;77524.16;63444.22;137822.89;;63927.42;;100239.4;38720.12;55664.59;;91323.59;;186042.74;65377.04;112035.71;
20008026-3;N06DA03;RIVASTIGMINA;TABLETA / CAPSULA;EXELON;6;;mg;;;;;;;168;NOVARTIS;VIGENTE;28;CAPSULAS;28 CAPSULAS;121;RIVASTIGMINA - Tableta/Capsula;Circular 07 de 2013;14-ene-14;8949.84;;;155048.32;126888.44;275645.79;;127854.85;;200478.8;77440.25;111329.19;;182647.19;;372085.48;130754.07;224071.42;
20008026-4;N06DA03;RIVASTIGMINA;TABLETA / CAPSULA;EXELON;6;;mg;;;;;;;336;NOVARTIS;VIGENTE;56;CAPSULAS;56 CAPSULAS;121;RIVASTIGMINA - Tableta/Capsula;Circular 07 de 2013;14-ene-14;17899.68;;;310096.65;253776.87;551291.57;;255709.69;;400957.59;154880.49;222658.38;;365294.37;;744170.95;261508.15;448142.84;
19985985-1;N06DA03;RIVASTIGMINA;TRANSDERMICOS;EXELON;36;;mg;;;;;;;108;NOVARTIS;VIGENTE;3;PARCHES;3 PARCHES;120;RIVASTIGMINA - Parche;Circular 07 de 2013;14-ene-14;3324.7;;;47843.48;48226.21;71606.58;53801.16;47495.76;;129923.16;33481.23;42974.22;;50642.77;73773.41;96154.27;46452.59;61646.7;
19985985-2;N06DA03;RIVASTIGMINA;TRANSDERMICOS;EXELON;36;;mg;;;;;;;252;NOVARTIS;VIGENTE;7;PARCHES;7 PARCHES;120;RIVASTIGMINA - Parche;Circular 07 de 2013;14-ene-14;7757.64;;;111634.79;112527.82;167082.03;125536.03;110823.44;;303154.03;78122.88;100273.17;;118166.46;172137.97;224359.96;108389.39;143842.29;
19985985-3;N06DA03;RIVASTIGMINA;TRANSDERMICOS;EXELON;36;;mg;;;;;;;540;NOVARTIS;VIGENTE;15;PARCHES;15 PARCHES;120;RIVASTIGMINA - Parche;Circular 07 de 2013;14-ene-14;16623.52;;;239217.41;241131.05;358032.92;269005.78;237478.8;;649615.78;167406.16;214871.08;;253213.84;368867.07;480771.34;232262.97;308233.48;
19985985-4;N06DA03;RIVASTIGMINA;TRANSDERMICOS;EXELON;36;;mg;;;;;;;1080;NOVARTIS;VIGENTE;30;PARCHES;30 PARCHES;120;RIVASTIGMINA - Parche;Circular 07 de 2013;14-ene-14;33247.03;;;478434.83;482262.1;716065.83;538011.56;474957.6;;1299231.55;334812.33;429742.16;;506427.68;737734.15;961542.67;464525.94;616466.96;
19985985-5;N06DA03;RIVASTIGMINA;TRANSDERMICOS;EXELON;36;;mg;;;;;;;2160;NOVARTIS;VIGENTE;60;PARCHES;60 PARCHES;120;RIVASTIGMINA - Parche;Circular 07 de 2013;14-ene-14;66494.06;;;956869.65;964524.2;1432131.67;1076023.12;949915.21;;2598463.11;669624.66;859484.32;;1012855.36;1475468.29;1923085.35;929051.87;1232933.92;
19985985-6;N06DA03;RIVASTIGMINA;TRANSDERMICOS;EXELON;36;;mg;;;;;;;3600;NOVARTIS;VIGENTE;100;PARCHES;100 PARCHES;120;RIVASTIGMINA - Parche;Circular 07 de 2013;14-ene-14;55411.72;;;1594782.75;1607540.34;2386886.11;1793371.87;1583192.01;;4330771.85;1116041.1;1432473.87;;1688092.26;2459113.82;3205142.25;1548419.79;2054889.87;
19985986-2;N06DA03;RIVASTIGMINA;TRANSDERMICOS;EXELON;27;;mg;;;;;;;189;NOVARTIS;VIGENTE;7;PARCHES;7 PARCHES;120;RIVASTIGMINA - Parche;Circular 07 de 2013;14-ene-14;5818.23;;;83726.09;84395.87;125311.52;94152.02;83117.58;;227365.52;58592.16;75204.88;;88624.84;129103.48;168269.97;81292.04;107881.72;
19985986-3;N06DA03;RIVASTIGMINA;TRANSDERMICOS;EXELON;27;;mg;;;;;;;405;NOVARTIS;VIGENTE;15;PARCHES;15 PARCHES;120;RIVASTIGMINA - Parche;Circular 07 de 2013;14-ene-14;12467.64;;;179413.06;180848.29;268524.69;201754.33;178109.1;;487211.83;125554.62;161153.31;;189910.38;276650.3;360578.5;174197.23;231175.11;
19985986-4;N06DA03;RIVASTIGMINA;TRANSDERMICOS;EXELON;27;;mg;;;;;;;810;NOVARTIS;VIGENTE;30;PARCHES;30 PARCHES;120;RIVASTIGMINA - Parche;Circular 07 de 2013;14-ene-14;24935.27;;;358826.12;361696.58;537049.38;403508.67;356218.2;;974423.67;251109.25;322306.62;;379820.76;553300.61;721157.01;348394.45;462350.22;
19985986-5;N06DA03;RIVASTIGMINA;TRANSDERMICOS;EXELON;27;;mg;;;;;;;1620;NOVARTIS;VIGENTE;60;PARCHES;60 PARCHES;120;RIVASTIGMINA - Parche;Circular 07 de 2013;14-ene-14;49870.55;;;717652.24;723393.15;1074098.75;807017.34;712436.41;;1948847.33;502218.49;644613.24;;759641.52;1106601.22;1442314.01;696788.9;924700.44;
19985986-6;N06DA03;RIVASTIGMINA;TRANSDERMICOS;EXELON;27;;mg;;;;;;;2700;NOVARTIS;VIGENTE;100;PARCHES;100 PARCHES;120;RIVASTIGMINA - Parche;Circular 07 de 2013;14-ene-14;41558.79;;;1196087.07;1205655.26;1790164.58;1345028.9;1187394.01;;3248078.89;837030.82;1074355.4;;1266069.2;1844335.36;2403856.68;1161314.84;1541167.4;
19985987-1;N06DA03;RIVASTIGMINA;TRANSDERMICOS;EXELON;18;;mg;;;;;;;54;NOVARTIS;VIGENTE;3;PARCHES;3 PARCHES;120;RIVASTIGMINA - Parche;Circular 07 de 2013;14-ene-14;1662.35;;;23921.74;24113.11;35803.29;26900.58;23747.88;;64961.58;16740.62;21487.11;;25321.38;36886.71;48077.13;23226.3;30823.35;
19985987-2;N06DA03;RIVASTIGMINA;TRANSDERMICOS;EXELON;18;;mg;;;;;;;126;NOVARTIS;VIGENTE;7;PARCHES;7 PARCHES;120;RIVASTIGMINA - Parche;Circular 07 de 2013;14-ene-14;3878.82;;;55817.4;56263.91;83541.01;62768.02;55411.72;;151577.01;39061.44;50136.59;;59083.23;86068.98;112179.98;54194.69;71921.15;
19985987-3;N06DA03;RIVASTIGMINA;TRANSDERMICOS;EXELON;18;;mg;;;;;;;270;NOVARTIS;VIGENTE;15;PARCHES;15 PARCHES;120;RIVASTIGMINA - Parche;Circular 07 de 2013;14-ene-14;8311.76;;;119608.71;120565.53;179016.46;134502.89;118739.4;;324807.89;83703.08;107435.54;;126606.92;184433.54;240385.67;116131.48;154116.74;
19985987-4;N06DA03;RIVASTIGMINA;TRANSDERMICOS;EXELON;18;;mg;;;;;;;540;NOVARTIS;VIGENTE;30;PARCHES;30 PARCHES;120;RIVASTIGMINA - Parche;Circular 07 de 2013;14-ene-14;16623.52;;;239217.41;241131.05;358032.92;269005.78;237478.8;;649615.78;167406.16;214871.08;;253213.84;368867.07;480771.34;232262.97;308233.48;
19985987-5;N06DA03;RIVASTIGMINA;TRANSDERMICOS;EXELON;18;;mg;;;;;;;1080;NOVARTIS;VIGENTE;60;PARCHES;60 PARCHES;120;RIVASTIGMINA - Parche;Circular 07 de 2013;14-ene-14;33247.03;;;478434.83;482262.1;716065.83;538011.56;474957.6;;1299231.55;334812.33;429742.16;;506427.68;737734.15;961542.67;464525.94;616466.96;
19985987-6;N06DA03;RIVASTIGMINA;TRANSDERMICOS;EXELON;18;;mg;;;;;;;1800;NOVARTIS;VIGENTE;100;PARCHES;100 PARCHES;120;RIVASTIGMINA - Parche;Circular 07 de 2013;14-ene-14;55411.72;;;797391.38;803770.17;1193443.06;896685.93;791596.01;;2165385.92;558020.55;716236.94;;844046.13;1229556.91;1602571.12;774209.89;1027444.93;
20047845-1;L02BG06;EXEMESTANO;TABLETA / CAPSULA;EXEMESTIN;25;;mg;;;;;;;750;WELFARE;VIGENTE;30;TABLETAS;30 TABLETAS;84;EXEMESTANO - Tableta/Capsula;Circular 01 de 2014;25-abr-14;17008.46;;;242977.95;317249.51;288591.45;;242978,00;;872742.81;;135236.27;;274009.78;;257745.12;166052.37;287220.26;
19964303-1;V03AC03;DEFERASIROX;TABLETA / CAPSULA;EXJADE;125;;mg;;;;;;;3500;NOVARTIS;VIGENTE;28;COMPRIMIDOS;28 COMPRIMIDOS;80;DEFERASIROX - Tableta/Capsula;Circular 07 de 2013;14-ene-14;26908.19;;;459832.8;355529.16;562881.01;398388.96;384402.68;;687332.65;384402.68;418396.28;438006.07;434617.44;515769.19;596698.29;337800.94;380372.77;
19964303-2;V03AC03;DEFERASIROX;TABLETA / CAPSULA;EXJADE;125;;mg;;;;;;;3500;NOVARTIS;VIGENTE;28;COMPRIMIDOS;28 COMPRIMIDOS;80;DEFERASIROX - Tableta/Capsula;Circular 07 de 2013;14-ene-14;26908.19;;;459832.8;355529.16;562881.01;398388.96;384402.68;;687332.65;384402.68;418396.28;438006.07;434617.44;515769.19;596698.29;337800.94;380372.77;
19964304-2;V03AC03;DEFERASIROX;TABLETA / CAPSULA;EXJADE;250;;mg;;;;;;;7000;NOVARTIS;VIGENTE;28;COMPRIMIDOS;28 COMPRIMIDOS;80;DEFERASIROX - Tableta/Capsula;Circular 07 de 2013;14-ene-14;53816.37;;;919665.59;711058.32;1125762.03;796777.92;768805.35;;1374665.3;768805.35;836792.56;876012.14;869234.89;1031538.38;1193396.58;675601.87;760745.54;
19964305-1;V03AC03;DEFERASIROX;TABLETA / CAPSULA;EXJADE;500;;mg;;;;;;;14000;NOVARTIS;VIGENTE;28;COMPRIMIDOS;28 COMPRIMIDOS;80;DEFERASIROX - Tableta/Capsula;Circular 07 de 2013;14-ene-14;53816.37;;;1839331.19;1422116.64;2251524.05;1593555.84;1537610.7;;2749330.59;1537610.7;1673585.12;1752024.29;1738469.78;2063076.76;2386793.16;1351203.74;1521491.09;
19955642-2;L02BA03;FLUVESTRANT;SOLUCION / SUSPENSION INYECTABLE;FASLODEX;250;;mg;5;ml;;;50;mg/ml;250;ASTRAZENECA;VIGENTE;1;JERINGA PRELLENADA;1 JERINGA PRELLENADA x 5 ml;87;FLUVESTRANT - Solución Inyectable;Circular 07 de 2013;14-ene-14;57159.96;;;;1484631.59;;;816570.8;;1627099.83;956473.73;609875.39;;676667.87;;1338918.65;;1689715.48;
19955642-3;L02BA03;FLUVESTRANT;SOLUCION / SUSPENSION INYECTABLE;FASLODEX;250;;mg;5;ml;;;50;mg/ml;500;ASTRAZENECA;VIGENTE;2;JERINGAS PRELLENADAS;2 JERINGAS PRELLENADAS x 5 ml;87;FLUVESTRANT - Solución Inyectable;Circular 07 de 2013;14-ene-14;57159.96;;;;2969263.18;;;1633141.6;;3254199.65;1912947.46;1219750.78;;1353335.74;;2677837.3;;3379430.95;
19939438-1;L01XE01;IMATINIB;TABLETA / CAPSULA;GLIVEC;400;;mg;;;;;;;12000;NOVARTIS;EN TRAMITE RENOV;30;COMPRIMIDOS;30 COMPRIMIDOS;91;IMATINIB - Tableta/Capsula;Circular 07 de 2013;14-ene-14;149094.68;;;6860239.46;2155076.84;6066627.46;4139965.83;4259848.04;;12745816.25;6617391.34;5326600.82;3315930.85;5410447.59;;4299808.77;4682888.28;5577458.36;
19939438-2;L01XE01;IMATINIB;TABLETA / CAPSULA;GLIVEC;400;;mg;;;;;;;24000;NOVARTIS;EN TRAMITE RENOV;60;COMPRIMIDOS;60 COMPRIMIDOS;91;IMATINIB - Tableta/Capsula;Circular 07 de 2013;14-ene-14;298189.36;;;13720478.93;4310153.67;12133254.93;8279931.67;8519696.08;;25491632.5;13234782.69;10653201.64;6631861.71;10820895.18;;8599617.55;9365776.56;11154916.71;
19939438-3;L01XE01;IMATINIB;TABLETA / CAPSULA;GLIVEC;400;;mg;;;;;;;48000;NOVARTIS;EN TRAMITE RENOV;120;COMPRIMIDOS;120 COMPRIMIDOS;91;IMATINIB - Tableta/Capsula;Circular 07 de 2013;14-ene-14;596378.73;;;27440957.85;8620307.34;24266509.86;16559863.33;17039392.15;;50983264.99;26469565.37;21306403.27;13263723.41;21641790.37;;17199235.09;18731553.12;22309833.42;
19939438-4;L01XE01;IMATINIB;TABLETA / CAPSULA;GLIVEC;400;;mg;;;;;;;72000;NOVARTIS;EN TRAMITE RENOV;180;COMPRIMIDOS;180 COMPRIMIDOS;91;IMATINIB - Tableta/Capsula;Circular 07 de 2013;14-ene-14;894568.09;;;41161436.78;12930461.01;36399764.79;24839795,00;25559088.23;;76474897.49;39704348.06;31959604.91;19895585.12;32462685.55;;25798852.64;28097329.67;33464750.13;
19939440-1;L01XE01;IMATINIB;TABLETA / CAPSULA;GLIVEC;100;;mg;;;;;;;3000;NOVARTIS;EN TRAMITE RENOV;30;COMPRIMIDOS;30 COMPRIMIDOS;91;IMATINIB - Tableta/Capsula;Circular 07 de 2013;14-ene-14;37273.67;;;1715059.87;538769.21;1516656.87;1034991.46;1064962.01;;3186454.06;1654347.84;1331650.2;828982.71;1352611.9;;1074952.19;1170722.07;1394364.59;
19939440-10;L01XE01;IMATINIB;TABLETA / CAPSULA;GLIVEC;100;;mg;;;;;;;18000;NOVARTIS;EN TRAMITE RENOV;180;TABLETAS;180 TABLETAS;91;IMATINIB - Tableta/Capsula;Circular 07 de 2013;14-ene-14;223642.02;;;10290359.19;3232615.25;9099941.2;6209948.75;6389772.06;;19118724.37;9926087.02;7989901.23;4973896.28;8115671.39;;6449713.16;7024332.42;8366187.53;
19939440-2;L01XE01;IMATINIB;TABLETA / CAPSULA;GLIVEC;100;;mg;;;;;;;6000;NOVARTIS;EN TRAMITE RENOV;60;COMPRIMIDOS;60 COMPRIMIDOS;91;IMATINIB - Tableta/Capsula;Circular 07 de 2013;14-ene-14;74547.34;;;3430119.73;1077538.42;3033313.73;2069982.92;2129924.02;;6372908.12;3308695.67;2663300.41;1657965.43;2705223.8;;2149904.39;2341444.14;2788729.18;
